channel,favorites
BLesNoticias,0.0
soberaniaysalud,0.0
saludprohibidaandreaskalcker,0.0
policiasporlalibertad,0.0
noticiasNOM,0.0
cloritodesodio,0.0
apellidoobligatorio,0.0
elarconte,0.0
ytlaverdadnosharalibres,0.0
InfoVacunas,0.0
tierrapura,2.0
trikooba,10.0
elmurodelaverdad,183.0
ejercitoremanente,265.0
periodistasporlaverdad,437.0
DrDeBenito,699.0
maskebellas,1071.0
ElContrafuerte,1333.0
estamosdespiertos,1867.0
canal5informa,3066.0
lasaludentusmanos,5051.0
ElDiestro,10316.0
laquintacolumna,11058.0
elexpresodemedianoche,12686.0
unionDisidente,21854.0
RosselloCM,39362.0
PADRESPORLAVERDAD,50895.0
despertadordelamatrix,63627.0
PLANDEMIA_MUNDIAL_COVID,70651.0
Medicosporlaverdad,104303.0
elinvestigador_org,194749.0
rafapalreal,275296.0
Dr_Angel_Ruiz_Valdepe_as,280353.0
comusav,927380.0
